team_name,player_url,player_id,match_id,player,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,fouls,fouled,offsides,crosses,tackles_wom,interceptions,own_goals,pens_won,penalties_conceded,primary_position,gk_shots_on_target_against,gk_goals_against,gk_saves,gk_save_pct
Indy Eleven,https://fbref.com/en/players/68cd160e/Jack-Blake,68cd160e,5ac860c8,Jack Blake,SCO,FW,30-293,85,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/e224956c/Finn-McRobb,e224956c,5ac860c8,Finn McRobb,SCO,DF,23-163,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/d961761c/Romario-Williams,d961761c,5ac860c8,Romario Williams,JAM,FW,30-331,70,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/5804f03b/Elliot-Collier,5804f03b,5ac860c8,Elliot Collier,NZL,"FW,MF",30-140,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/836c317b/Elvis-Amoh,836c317b,5ac860c8,Elvis Amoh,GHA,FW,33-160,69,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/2f2c0ab1/Edward-Kizza,2f2c0ab1,5ac860c8,Edward Kizza,UGA,FW,26-207,21,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,FW,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/f03a0471/Cameron-Lindley,f03a0471,5ac860c8,Cameron Lindley,USA,LM,27-359,90,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,LM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/52ffb493/James-Murphy,52ffb493,5ac860c8,James Murphy,USA,CM,27-298,90,0,0,0,0,1,0,0,0,2,1,0,5,0,2,0,0,0,CM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/73366dc8/Aodhan-Quinn,73366dc8,5ac860c8,Aodhan Quinn,USA,CM,33-112,90,0,1,0,0,1,0,0,0,0,2,1,3,0,1,0,0,0,CM,0.0,0.0,0.0,0.0
Indy Eleven,https://fbref.com/en/players/5b5ab194/Bruno-Rendon,5b5ab194,5ac860c8,Bruno Rendon,CUB,RM,25-066,63,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,RM,0.0,0.0,0.0,0.0
