"team_name","player_url","player_id","match_id","player","lineup_status","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","fouls","fouled","offsides","crosses","tackles_won","interceptions","own_goals","pens_won","penalties_conceded","primary_position","gk_shots_on_target_against","gk_goals_against","gk_saves","gk_save_pct"
"Charleston","https://fbref.com/en/players/2509d2df/Andrew-Booth","2509d2df","68060dcf","Andrew Booth","Starter","JAM","FW","25-069","90","0","0","0","0","3","3","0","0","2","2","0","0","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/7a57e1c4/Geobel-Perez","7a57e1c4","68060dcf","Geobel Perez","Starter","CUB","FW","23-113","74","0","0","0","0","2","0","1","0","5","3","0","2","1","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/78b38d37/Alexander-Dexter","78b38d37","68060dcf","Alexander Dexter","Sub","USA","FW","23-324","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/869a63f7/Aidan-Apodaca","869a63f7","68060dcf","Aidan Apodaca","Starter","USA","FW","26-122","90","0","0","0","0","1","1","0","0","2","0","0","0","2","0","0","0","0","FW",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/1332e02f/Charlie-Asensio","1332e02f","68060dcf","Charlie Asensio","Starter","USA","LM","22-246","90","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","LM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/d860358e/Enock-Kwakwa","d860358e","68060dcf","Enock Kwakwa","Starter","GHA","CM","28-083","90","0","0","0","0","0","0","0","0","2","0","0","2","0","1","0","0","0","CM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/79979a4e/Robbie-Crawford","79979a4e","68060dcf","Robbie Crawford","Starter","SCO","CM","29-188","90","0","0","0","0","2","0","1","0","1","0","0","3","0","0","0","0","0","CM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/f90c1a5e/Avionne-Flanagan","f90c1a5e","68060dcf","Avionne Flanagan","Starter","USA","RM","23-170","85","0","0","0","0","1","1","0","0","0","4","0","4","1","0","0","0","0","RM",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/0a7e13e4/Caden-Theobald","0a7e13e4","68060dcf","Caden Theobald","Sub","USA","MF","18-176","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MF",0.0,0.0,0.0,0.0
"Charleston","https://fbref.com/en/players/0e104fd6/AJ-Paterson","0e104fd6","68060dcf","AJ Paterson","Starter","GRN","CB","26-235","90","0","0","0","0","0","0","1","0","2","0","0","1","1","1","0","0","0","CB",0.0,0.0,0.0,0.0
